# Completeness = 8372 / 10000
RA	Dec	magnitude
189.811182	-7.995673	4.300346
190.908753	-1.577323	5.686037
198.518106	-2.806993	4.074166
193.898778	3.397230	2.403777
189.593000	1.854583	4.698662
199.401153	5.469942	3.956471
203.533245	3.658866	4.889810
207.602873	5.497221	5.787742
210.631835	9.685783	5.874960
195.542915	10.959237	2.619051
156.522011	-16.836645	3.266733
165.811624	-11.303943	5.264592
151.280949	-13.064541	4.567612
154.406791	-8.068898	5.168725
156.433854	-7.059247	4.935474
157.572660	-0.637137	5.036000
177.677121	1.763519	3.468565
165.457025	-2.484748	4.026126
162.168893	-1.958860	5.142053
170.283727	6.029268	4.054757
169.322746	2.009924	4.500076
144.964212	-1.143089	3.466299
138.591681	2.312888	3.881346
142.287732	-2.769078	4.465013
144.612967	4.649066	4.213269
158.202765	9.306570	3.825666
151.975755	9.997219	3.838813
150.053214	8.044122	3.883179
176.464737	6.528562	3.320959
180.218297	6.614196	4.607758
181.301204	8.733166	3.857797
174.615009	8.134320	3.906972
176.321264	8.258003	4.800302
184.000407	14.898930	5.073341
178.918935	15.646828	5.500482
191.661574	16.577758	4.669790
194.730837	17.409593	4.049141
196.594314	22.615992	4.051477
185.178763	17.793264	4.437253
192.924607	27.540676	4.736375
188.712520	22.629307	4.861961
168.559745	15.429221	3.339625
165.582352	20.180016	4.404736
168.800828	23.095482	3.630643
